                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.90774,                0.53823,                 0.9455,                 0.8094,                0.79867,                0.85142,                0.53994,                 1.1792,                0.66895,                 1.0451,               0.004456,               0.004456,               0.004456
                    115,                0.90441,                0.53563,                0.94277,                 0.8111,                0.79455,                0.85092,                0.53979,                 1.1797,                 0.6688,                 1.0452,              0.0044065,              0.0044065,              0.0044065
                    116,                0.90432,                0.53507,                0.94563,                0.81994,                0.78254,                0.85027,                0.53931,                 1.1798,                0.66926,                 1.0455,               0.004357,               0.004357,               0.004357
                    117,                0.90301,                0.53704,                0.94322,                0.80628,                 0.7944,                 0.8497,                0.53904,                 1.1795,                0.66906,                 1.0453,              0.0043075,              0.0043075,              0.0043075
                    118,                0.89507,                0.53068,                0.93918,                0.80549,                0.79405,                0.85014,                 0.5384,                 1.1789,                0.66942,                  1.045,               0.004258,               0.004258,               0.004258
                    119,                0.89119,                0.52849,                0.93769,                0.80306,                0.79812,                0.85036,                 0.5391,                 1.1794,                0.67031,                 1.0452,              0.0042085,              0.0042085,              0.0042085
                    120,                0.89696,                0.53117,                0.93874,                0.80452,                0.79827,                 0.8504,                0.53905,                  1.179,                0.67013,                  1.045,               0.004159,               0.004159,               0.004159
                    121,                0.88642,                0.52667,                0.93697,                0.81083,                0.79219,                 0.8512,                0.53883,                 1.1791,                0.66918,                  1.045,              0.0041095,              0.0041095,              0.0041095
                    122,                 0.8885,                0.52973,                0.93894,                0.81115,                0.79131,                 0.8506,                0.53902,                 1.1786,                0.66848,                 1.0448,                0.00406,                0.00406,                0.00406
                    123,                0.88775,                0.52689,                0.94129,                0.80932,                0.79293,                0.85051,                0.53918,                 1.1784,                0.66844,                 1.0451,              0.0040105,              0.0040105,              0.0040105
                    124,                0.88498,                0.52464,                0.93538,                0.80207,                 0.8027,                0.85093,                0.53945,                 1.1779,                0.66798,                 1.0449,               0.003961,               0.003961,               0.003961
